
======================================================================
## A. 每服每日新增注册人数 (est)
======================================================================
[dataapi] download ready rows=143 latency=55281ms
serverid | ds | new_users
39005900001600 | 20260719 | 1
39005900001601 | 20260529 | 81
39005900001601 | 20260620 | 4
39005900001601 | 20260621 | 16
39005900001601 | 20260622 | 13
39005900001601 | 20260623 | 7
39005900001601 | 20260624 | 8
39005900001601 | 20260625 | 10
39005900001601 | 20260626 | 10
39005900001601 | 20260627 | 10
39005900001601 | 20260628 | 11
39005900001601 | 20260629 | 11
39005900001601 | 20260630 | 5
39005900001601 | 20260701 | 8
39005900001601 | 20260702 | 5
39005900001601 | 20260703 | 6
39005900001601 | 20260704 | 6
39005900001601 | 20260705 | 12
39005900001601 | 20260706 | 12
39005900001601 | 20260707 | 16
39005900001601 | 20260708 | 14
39005900001601 | 20260709 | 15
39005900001601 | 20260710 | 7
39005900001601 | 20260713 | 1
39005900001601 | 20260714 | 1
39005900001601 | 20260715 | 1
39005900001601 | 20260718 | 2
39005900001601 | 20260719 | 1
(143 行)

======================================================================
## B. 每服累计注册人数
======================================================================
[dataapi] download ready rows=4 latency=5033ms
serverid | total_reg
------------------------------------------------------------
39005900001598 | 194
39005900001599 | 248
39005900001600 | 214
39005900001601 | 293
(4 行)

======================================================================
## C. 每服付费汇总 (pay)
======================================================================
[dataapi] download ready rows=4 latency=10075ms
serverid | payers | pay_times | total_diamonds | total_usd | arppu_usd
------------------------------------------------------------
39005900001598 | 22 | 143 | 352761 | 3527.61 | 160.35
39005900001599 | 30 | 353 | 982864 | 9828.64 | 327.62
39005900001600 | 16 | 136 | 203460 | 2034.6 | 127.16
39005900001601 | 17 | 97 | 183467 | 1834.67 | 107.92
(4 行)

======================================================================
## D. 付费类型拆分 (1=兑换游戏币, 2=直购礼包)
======================================================================
[dataapi] download ready rows=8 latency=10102ms
serverid | pay_type | payers | times | usd
------------------------------------------------------------
39005900001598 | 1 | 21 | 104 | 2845.0
39005900001598 | 2 | 15 | 39 | 682.61
39005900001599 | 1 | 29 | 217 | 7965.0
39005900001599 | 2 | 22 | 136 | 1863.64
39005900001600 | 1 | 15 | 96 | 1485.0
39005900001600 | 2 | 12 | 40 | 549.6
39005900001601 | 1 | 17 | 64 | 1430.0
39005900001601 | 2 | 10 | 33 | 404.67
(8 行)

======================================================================
## E. 直购礼包 TOP (按美元)
======================================================================
[dataapi] download ready rows=50 latency=15135ms
serverid | gift_id | payers | times | usd
------------------------------------------------------------
39005900001598 | 8000 | 6 | 6 | 179.94
39005900001598 | 5400101 | 4 | 4 | 119.96
39005900001598 | 5400104 | 3 | 3 | 89.97
39005900001598 | 5400100 | 9 | 9 | 89.91
39005900001598 | 5500001 | 2 | 2 | 79.98
39005900001598 | 5400103 | 7 | 7 | 69.93
39005900001598 | 5400106 | 3 | 3 | 29.97
39005900001598 | 62700 | 1 | 2 | 19.98
39005900001598 | 102 | 1 | 2 | 1.98
39005900001598 | 201 | 1 | 1 | 0.99
39005900001599 | 8000 | 11 | 12 | 359.88
39005900001599 | 5500001 | 5 | 6 | 239.94
39005900001599 | 5400101 | 7 | 7 | 209.93
39005900001599 | 5400104 | 6 | 6 | 179.94
39005900001599 | 62680 | 1 | 2 | 99.98
39005900001599 | 5400100 | 10 | 10 | 99.9
39005900001599 | 5400103 | 9 | 9 | 89.91
39005900001599 | 104 | 3 | 9 | 89.91
39005900001599 | 5400106 | 8 | 8 | 79.92
39005900001599 | 62741 | 1 | 1 | 59.99
39005900001599 | 62743 | 1 | 1 | 59.99
39005900001599 | 5400107 | 2 | 2 | 59.98
39005900001599 | 103 | 4 | 11 | 54.89
39005900001599 | 102 | 8 | 39 | 38.61
39005900001599 | 62747 | 2 | 2 | 25.98
39005900001599 | 62785 | 1 | 1 | 24.99
39005900001599 | 62748 | 1 | 1 | 22.99
39005900001599 | 19801 | 2 | 2 | 19.98
39005900001599 | 1402 | 1 | 1 | 14.99
39005900001599 | 62700 | 1 | 1 | 9.99
39005900001599 | 803 | 1 | 1 | 9.99
39005900001599 | 62783 | 1 | 1 | 4.99
39005900001599 | 62766 | 1 | 1 | 4.99
39005900001599 | 201 | 1 | 2 | 1.98
39005900001600 | 5400104 | 6 | 6 | 179.94
39005900001600 | 5400103 | 10 | 10 | 99.9
39005900001600 | 8000 | 3 | 3 | 89.97
39005900001600 | 5400107 | 3 | 3 | 89.97
39005900001600 | 5400106 | 8 | 8 | 79.92
39005900001600 | 102 | 4 | 10 | 9.9
39005900001601 | 5400107 | 3 | 3 | 89.97
39005900001601 | 5400103 | 7 | 7 | 69.93
39005900001601 | 5400104 | 2 | 2 | 59.98
39005900001601 | 8000 | 2 | 2 | 59.98
39005900001601 | 62793 | 1 | 1 | 49.99
39005900001601 | 5400106 | 3 | 3 | 29.97
39005900001601 | 103 | 1 | 3 | 14.97
39005900001601 | 62848 | 1 | 1 | 9.99
39005900001601 | 104 | 1 | 1 | 9.99
39005900001601 | 102 | 4 | 10 | 9.9
(50 行)

======================================================================
## F. 近7天活跃玩家等级分布 (login, 每玩家取最高等级)
======================================================================
[dataapi] download ready rows=16 latency=5057ms
